Material,Código
Escarro,0.0
ESCARRO 1ª AMOSTRA,0.0
ESCARRO 2ª AMOSTRA,0.0
ESCARRO 3ª AMOSTRA,0.0
Aspirado Traqueal,1.0
Lavado broncoalveolar,2.0
Liquido ascitico,3.0
Liquido pleural,4.0
Partes moles,5.0
Sangue,6.0
Liquido pericárdico,7.0
Urina,8.0
Líquido abdominal,9.0
Fragmento de tecido,10.0
Osso,11.0
Fragmento ósseo,11.0
Liquor,14.0
Outro,15.0
Líquido sinovial,17.0
Secreção nasal,19.0
Secreção de abcesso,21.0
SECRECAO DE ABSCESSO,21.0
Secreção purulenta,22.0
Fragmento de pele,23.0
