Microrganismo,Código
Candida albicans,2
Candida tropicalis,3
Candida glabrata,4
Candida krusei,5
Candida parapsilosis,6
Candida famata,33
Trichosporon asahii,278
Cryptococcus spp.,279
Cryptococcus neoformans,280
Candida ciferrii,283
Candida guilliermondii,284
Candida dubliniensis,288
Malassezia furfur,293
Candida lipolytica,295
Candida sphaerica,320
Candida lusitaniae,323
Candida spp.,325
Candida haemulonii,335
