Microrganismo,Código
Candidatus Cuticobacterium sp.,81
Edaphovirga cremea,125
Bacillus cereus group,276
Bacillus cereus,276
Bacillus firmus,292
Bacillus subtilis/amyloliquefaciens/atrophaeus,294
Bacillus flexus,297
Bacillus altitudinis/pumilus,299
Paenibacillus lautus,300
Bacillus megaterium,311
Bacillus cereus/thuringiensis/mycoides,312
Bacillus cereus/Bacillus thuringiensis,314
Bacillus spp,331
Brevibacterium casei,334
