Microrganismo,Código
Kluyvera sichuanensis, 216
Kluyvera spp., 217
Kocuria rosea, 218
Kosakonia arachidis, 219
Kosakonia cowanii, 220
Kosakonia oryzae, 221
Kosakonia oryzendophytica, 222
Kosakonia oryziphila, 223
Kosakonia pseudosacchari, 224
Kosakonia quasisacchari, 225
Kosakonia radicincitans, 226
Kosakonia sacchari, 227
Kosakonia spp., 228
Leclercia adecarboxylata, 229
Lelliottia amnigena, 230
Lelliottia aquatilis, 231
Lelliottia jeotgali, 232
Lelliottia nimipressuralis, 233
Lelliottia spp., 234
Mangrovibacter phragmitis, 235
Mangrovibacter plantisponsor, 236
Mangrovibacter spp., 237
Mangrovibacter yixingensis, 238
Metakosakonia massiliensis, 239
Micrococcus luteus, 240
Micrococcus lylae, 241
Moellerella wisconsensis, 242
Moraxella catarrhalis, 243
Morganella spp, 244
Obesumbacterium proteus, 245
Pantoea agglomerans, 246
Pantoea dispersa, 247
Pantoea spp., 248
Pectobacterium carotovorum, 249
Phytobacter diazotrophicus, 250
Phytobacter palmae, 251
Phytobacter spp., 252
Phytobacter ursingii, 253
Pluralibacter gergoviae, 254
Pluralibacter pyrinus, 255
Pluralibacter spp., 256
Proteus hauseri, 257
Proteus vulgaris, 258
Providencia alcalifaciens, 260
Providencia rustigianii, 261
Providencia spp, 262
Pseudescherichia spp, 263
Pseudescherichia vulneris, 264
Pseudocitrobacter faecalis, 265
Pseudocitrobacter spp, 266
Pseudocitrobacter vendiensis, 267
Pseudomonas aeruginosa, 268
Rahnella aquatilis, 269
Raoultella electrica, 270
Raoultella ornithinolytica, 271
Raoultella planticola, 272
Raoultella spp., 273
Raoultella terrigena, 274
Scandinavium goeteborgense, 275
Serratia ficaria, 276
Serratia fonticola, 277
Serratia grimesii, 278
Serratia liquefaciens, 279
Serratia plymuthica, 280
Serratia proteamaculans, 281
Serratia rubidaea, 282
Serratia spp, 283
Shigella boydii, 284
Shigella dysenteriae, 285
Shigella flexneri, 286
Shigella sonnei, 287
Shigella spp, 288
Shimwellia blattae, 289
Shimwellia pseudoproteus, 290
Shimwellia spp., 291
Siccibacter colletis, 292
Siccibacter spp., 293
Siccibacter turicensis, 294
Staphyloccos coagulase negativo, 295
Staphylococcus arlettae, 296
Staphylococcus auricularis, 297
Staphylococcus capitis, 298
Staphylococcus caprae, 299
Staphylococcus carnosus, 300
Staphylococcus casei, 301
Staphylococcus chromogenes, 302
Staphylococcus cohnii, 303
Staphylococcus condimenti, 304
Staphylococcus delphini, 305
Staphylococcus devriesei, 306
Staphylococcus equorum, 307
Staphylococcus felis, 308
